id,page_title,url,topic,scope,date_accessed,change_frequency,content_version,notes
1,Heinz College Admissions (home),https://www.heinz.cmu.edu/admissions/,Admissions overview; no application fee; holistic review,General,2026-07-11,Low,undated,Primary hub page linking to all admissions sub-pages
2,Admissions Checklist,https://www.heinz.cmu.edu/admissions/checklist/,Required application materials (application/ transcripts/ recommendations/ resume/ essay),General,2026-07-11,Low,undated,Core "what do I need to apply" page
3,Application Checklist — Transcripts,https://www.heinz.cmu.edu/admissions/checklist/transcripts,Transcript submission requirements,General,2026-07-11,Low,undated,
4,Application Checklist — Letters of Recommendation,https://www.heinz.cmu.edu/admissions/checklist/recommendations,Recommendation requirements (2 required/ 3 max),General,2026-07-11,Low,undated,
5,Application Checklist — Video Interview,https://www.heinz.cmu.edu/admissions/checklist/video-interview,Optional recommended video interview,General,2026-07-11,Low,undated,
6,Application Checklist — English Language Proficiency,https://www.heinz.cmu.edu/admissions/checklist/exam-results,English proficiency exam (TOEFL/IELTS) requirements,General,2026-07-11,Low,undated,BORDERLINE — international applicants only. Scope lists English-language requirements as in-scope but bans visa/international advice. Keep for the requirement facts; ensure guardrails still refuse visa/immigration questions.
7,Admissions FAQ — General & Curriculum,https://www.heinz.cmu.edu/admissions/faq/,General and curriculum FAQs,General,2026-07-11,Low,undated,High-value: pre-written Q&A phrasing for retrieval
8,Admissions FAQ — Admissions,https://www.heinz.cmu.edu/admissions/faq/admissions,Admissions-process FAQs (GRE/GMAT waivers/ review process),General,2026-07-11,Medium,undated,High-value FAQ source
9,Admissions FAQ — Financial Aid,https://www.heinz.cmu.edu/admissions/faq/financial-aid,Financial aid / scholarship FAQs,General,2026-07-11,Medium,undated,
10,Connect With Us,https://www.heinz.cmu.edu/admissions/connect-with-us/,Ways to reach admissions team / current students,General,2026-07-11,Low,undated,Supports the human-escalation path (Member 1)
11,Contact Us,https://www.heinz.cmu.edu/contact/,Office of Admissions contact info (phone/ email/ address),General,2026-07-11,Low,undated,Escalation target: hnzadmit@andrew.cmu.edu / 412-268-2164
12,Partner Scholarships,https://www.heinz.cmu.edu/admissions/strategic-partner-scholarship-program,Partner scholarships (Peace Corps/ AmeriCorps/ TFA/ City Year),General,2026-07-11,Medium,undated,Dollar amounts may change year to year
13,Programs (index),https://www.heinz.cmu.edu/programs/index,List of all Heinz master's programs,General,2026-07-11,Low,undated,"Use to route ""which programs exist"" and ""differences among programs"" questions"
14,2026-2027 Graduate Tuition (SFS),https://www.cmu.edu/sfs/tuition/graduate/index.html,Graduate tuition rates by program,General,2026-07-11,High,2026-2027 rates,Tuition set annually — flag for freshness/versioning (Week 5)
15,Cost of Attendance (SFS),https://www.cmu.edu/sfs/tuition/index.html,Total cost of attendance overview,General,2026-07-11,High,2026-2027 rates,CMU-wide SFS page (authoritative for cost)
16,AIM — Admissions / How to Apply,https://www.heinz.cmu.edu/programs/artificial-intelligence-masters/admissions-how-to-apply,Program admissions: deadlines/ prerequisites/ GRE-GMAT policy,Program-specific (AIM),2026-07-11,Medium,AY2026-27 cycle,Deadlines change each cycle
17,MISM — Admissions / How to Apply,https://www.heinz.cmu.edu/programs/information-systems-management-master/admissions-how-to-apply,Program admissions: deadlines/ prerequisites/ GRE-GMAT policy,Program-specific (MISM),2026-07-11,Medium,AY2026-27 cycle,Includes BIDA track
18,MSPPM — Admissions / How to Apply,https://www.heinz.cmu.edu/programs/public-policy-management-master/admissions-how-to-apply,Program admissions: deadlines/ prerequisites/ tracks,Program-specific (MSPPM),2026-07-11,Medium,AY2026-27 cycle,
19,MSISPM — Admissions / How to Apply,https://www.heinz.cmu.edu/programs/information-security-policy-management-master/admissions-how-to-apply,Program admissions: deadlines/ prerequisites,Program-specific (MSISPM),2026-07-11,Medium,AY2026-27 cycle,
20,MSHCA — Admissions / How to Apply,https://www.heinz.cmu.edu/programs/health-care-analytics-master/admissions-how-to-apply,Program admissions: deadlines/ prerequisites,Program-specific (MSHCA),2026-07-11,Medium,AY2026-27 cycle,
21,MAM — Admissions / How to Apply,https://www.heinz.cmu.edu/programs/arts-management-master/admissions-how-to-apply,Program admissions: deadlines/ prerequisites,Program-specific (MAM),2026-07-11,Medium,AY2026-27 cycle,
22,AIM — Financial Aid & Scholarships,https://www.heinz.cmu.edu/programs/artificial-intelligence-masters/financial-aid-and-scholarships,Program-specific scholarships / aid,Program-specific (AIM),2026-07-11,Medium,AY2026-27 cycle,"Same URL pattern exists for every program: /programs/<program>-master/financial-aid-and-scholarships-<code>"
23,CMU Prospective Graduate Student Information,https://www.cmu.edu/graduate/prospective/,University-wide graduate admissions policy / process / financial support overview,General (CMU-wide),2026-07-11,Low,undated,"GAP FILL — the ""CMU graduate admissions policies"" source category. Office of Graduate & Postdoctoral Affairs."
24,CMU Graduate Funding Opportunities & Fellowships,https://www.cmu.edu/graduate/funding/index.html,University-wide fellowships / funding programs,General (CMU-wide),2026-07-11,Low,undated,Supplements Heinz-specific aid; central fellowship/funding info
25,CMU Academic Calendar (The HUB),https://www.cmu.edu/hub/calendar/,Term start/end dates / academic calendar,General (CMU-wide),2026-07-11,High,AY2026-27,Supports "when does the program start / term dates" questions
26,AIM — Program Overview,https://www.heinz.cmu.edu/programs/artificial-intelligence-masters/,"Program format & duration (16-mo w/ internship or 12-mo fast track)/ degree/ STEM status/ deadlines",Program-specific (AIM),2026-07-11,Medium,AY2026-27 cycle,GAP FILL — program format/duration. Has clean "key program information" block.
27,MISM — Program Overview,https://www.heinz.cmu.edu/programs/information-systems-management-master/,Program format & duration/ tracks (incl. BIDA)/ degree,Program-specific (MISM),2026-07-11,Medium,AY2026-27 cycle,GAP FILL — program format/duration
28,MSPPM — Program Overview,https://www.heinz.cmu.edu/programs/public-policy-management-master/,Program format & duration/ tracks (2-yr/ 3-semester/ DC/ data analytics),Program-specific (MSPPM),2026-07-11,Medium,AY2026-27 cycle,GAP FILL — program format/duration
29,MSISPM — Program Overview,https://www.heinz.cmu.edu/programs/information-security-policy-management-master/,Program format & duration/ degree,Program-specific (MSISPM),2026-07-11,Medium,AY2026-27 cycle,GAP FILL — program format/duration
30,MSHCA — Program Overview,https://www.heinz.cmu.edu/programs/health-care-analytics-master/,Program format & duration/ degree,Program-specific (MSHCA),2026-07-11,Medium,AY2026-27 cycle,GAP FILL — program format/duration
31,MAM — Program Overview,https://www.heinz.cmu.edu/programs/arts-management-master/,Program format & duration/ degree,Program-specific (MAM),2026-07-11,Medium,AY2026-27 cycle,GAP FILL — program format/duration
32,MEIM — Program Overview,https://www.heinz.cmu.edu/programs/entertainment-industry-management-master/,Program format & duration/ dual-city (Pittsburgh & LA)/ joint CFA degree,Program-specific (MEIM),2026-07-11,Medium,AY2026-27 cycle,Completes full-time master's set
33,MEIM — Admissions / How to Apply,https://www.heinz.cmu.edu/programs/entertainment-industry-management-master/admissions-how-to-apply,Program deadlines/ GRE-GMAT optional/ MEIM-only video essay,Program-specific (MEIM),2026-07-11,Medium,Aug 2026 cycle (as published),Completes full-time master's set
