chunk_id,source_id,source_title,source_url,scope,topic,content_version,change_frequency,date_accessed,char_count,token_estimate_approx,text
c001,src01,Heinz College Admissions (home),https://www.heinz.cmu.edu/admissions/,general,admissions overview; required materials; no application fee,undated,Low,2026-07-11,537,134,"Heinz College Admissions

This section applies to Heinz College's master's and Ph.D. admissions only. Heinz College does not charge an application fee.

How to Apply: Full-time Master's Programs. Course prerequisites and required materials vary by program, but all applicants to full-time Master's programs at Heinz College must submit the following: an online application, transcripts, letters of recommendation (2 required, 3 maximum), a professional resume, and a required essay. There is no application fee to apply to Heinz College."
c002,src01,Heinz College Admissions (home),https://www.heinz.cmu.edu/admissions/,general,admissions overview; required materials; no application fee,undated,Low,2026-07-11,751,188,"There is no application fee to apply to Heinz College. International applicants may be required to also submit English Language Proficiency Exam Results and Transcript Evaluations. All applicants can also submit an optional recommended Video Interview and an optional essay.

Full-time master's programs at Heinz College include: Master of Science in Artificial Intelligence Systems Management (AIM), Master of Arts Management (MAM), Master of Entertainment Industry Management (MEIM), Master of Science in Health Care Analytics (MSHCA), Master of Information Systems Management (MISM, including the BIDA pathway), Master of Science in Information Security Policy and Management (MSISPM), and Master of Science in Public Policy and Management (MSPPM)."
c003,src01,Heinz College Admissions (home),https://www.heinz.cmu.edu/admissions/,general,admissions overview; required materials; no application fee,undated,Low,2026-07-11,701,175,"y), Master of Science in Information Security Policy and Management (MSISPM), and Master of Science in Public Policy and Management (MSPPM). Part-time master's programs include: Master of Public Management (MPM), Master of Medical Management (MMM), and Master of Science in Information Technology (MSIT).

Partner Scholarships: If you are affiliated with one of Heinz's partner organizations such as Peace Corps, AmeriCorps, Teach For America or City Year, you are eligible to receive a minimum scholarship of $8,100 or $13,000 per semester.

Contact: Heinz College Office of Admissions, 5000 Forbes Avenue, Hamburg Hall, Pittsburgh, PA 15213-3890. Phone: 412-268-2164. Email: hnzadmit@andrew.cmu.edu."
c004,src02,Admissions FAQ - Admissions,https://www.heinz.cmu.edu/admissions/faq/admissions,general,application process; deadlines; GRE/GMAT; TOEFL; recommendations; transcripts,undated,Medium,2026-07-11,531,133,"Admissions FAQs — Application Process

When can I apply? The application for admission opens September 1 for the following calendar year (for example, September 1, 2025 for the January, May, and August 2026 intakes).

I am currently pursuing my bachelor's degree. Can I still apply by the Round 1 deadline? Applicants who are currently pursuing their bachelor's degree are encouraged to apply by the Round 2 deadline (January 10) so their fall (or seventh) semester grades are included on the official transcript/evaluation report."
c005,src02,Admissions FAQ - Admissions,https://www.heinz.cmu.edu/admissions/faq/admissions,general,application process; deadlines; GRE/GMAT; TOEFL; recommendations; transcripts,undated,Medium,2026-07-11,594,148,"y by the Round 2 deadline (January 10) so their fall (or seventh) semester grades are included on the official transcript/evaluation report. What do I need to submit for admissions consideration? Required application materials vary by program and applicant type (domestic or international). In general, to apply for admission to a master's program, prospective students are required to submit an online application form, undergraduate transcripts, their professional resume, two recommendations, and an essay.

What is the application fee? There is no application fee to apply to Heinz College."
c006,src02,Admissions FAQ - Admissions,https://www.heinz.cmu.edu/admissions/faq/admissions,general,application process; deadlines; GRE/GMAT; TOEFL; recommendations; transcripts,undated,Medium,2026-07-11,688,172,"What is the application fee? There is no application fee to apply to Heinz College. Can I apply to more than one program? Heinz strongly recommends applicants apply to one program. Students interested in more than one program are encouraged to apply to their top choice and can indicate interest in a second program within their optional essay.

Am I allowed to use ChatGPT or other AI tools to write my essay? You should not use artificial intelligence such as ChatGPT to write any portion of your essay. Your essay should contain only true information and your own original content. Submission of false, plagiarized, or AI-generated material may result in automatic denial of admission."
c007,src02,Admissions FAQ - Admissions,https://www.heinz.cmu.edu/admissions/faq/admissions,general,application process; deadlines; GRE/GMAT; TOEFL; recommendations; transcripts,undated,Medium,2026-07-11,633,158,"Submission of false, plagiarized, or AI-generated material may result in automatic denial of admission. Can I still apply if I missed the application deadline? Heinz does accept late applications to its master's programs. For full-time master's programs, applications are accepted after the published deadlines if space remains in the incoming class; contact the Office of Admissions if interested in applying after January 10. On June 15, 2026, the application system will close for admission to the full-time master's programs' incoming cohort for August 2026. PhD programs do not accept applications after the December 1 deadline."
c008,src02,Admissions FAQ - Admissions,https://www.heinz.cmu.edu/admissions/faq/admissions,general,application process; deadlines; GRE/GMAT; TOEFL; recommendations; transcripts,undated,Medium,2026-07-11,620,155,"PhD programs do not accept applications after the December 1 deadline. Can I defer my admission? Deferrals are not common and are considered on a case-by-case basis for one academic year only. Typically deferrals are granted for military/volunteer public service or opportunities with a partner organization.

Admissions FAQs — GRE/GMAT

Are GRE/GMAT scores required? The GRE/GMAT is required for admission to most of the master's and Ph.D. programs offered by Heinz College. Each program has its own policy. In some cases, applicants may qualify for a waiver of the test score requirement and apply without test scores."
c009,src02,Admissions FAQ - Admissions,https://www.heinz.cmu.edu/admissions/faq/admissions,general,application process; deadlines; GRE/GMAT; TOEFL; recommendations; transcripts,undated,Medium,2026-07-11,690,172,"In some cases, applicants may qualify for a waiver of the test score requirement and apply without test scores. What are Heinz College's GRE codes? The institution code is 3085. Scores sent to the main Carnegie Mellon University code (2074) will still be verified.

How old can GRE test scores be? Heinz accepts test scores that are up to five years old at the time of application. ETS will not verify test scores beyond the five year mark.

Can I take the GRE/GMAT after the application deadline? On the application, enter your upcoming test date and registration number in lieu of your scores, and still submit your application prior to the posted deadline.

Admissions FAQs — TOEFL/IELTS"
c010,src02,Admissions FAQ - Admissions,https://www.heinz.cmu.edu/admissions/faq/admissions,general,application process; deadlines; GRE/GMAT; TOEFL; recommendations; transcripts,undated,Medium,2026-07-11,642,160,"Admissions FAQs — TOEFL/IELTS Do I need to take the TOEFL exam? If your native language is not English, you are required to submit an official score report from TOEFL, IELTS, or Duolingo. Exceptions apply for applicants who have worked or studied for five or more years in specified English-speaking countries, or who studied four years of their undergraduate education in the United States and earned their bachelor's degree from a regionally accredited US school. Applicants must score at or above the posted minimums. Heinz's TOEFL institution code is 2176. TOEFL scores are accepted up to two years old.

Admissions FAQs — Recommendations"
c011,src02,Admissions FAQ - Admissions,https://www.heinz.cmu.edu/admissions/faq/admissions,general,application process; deadlines; GRE/GMAT; TOEFL; recommendations; transcripts,undated,Medium,2026-07-11,414,104,"Admissions FAQs — Recommendations How many recommendations are required? At least two recommendations are required to support an application; you may exclude or change recommenders in the online application. Under FERPA, students may waive their right to view letters of recommendation; how you respond to the FERPA waiver question will not impact your chances for admission.

Admissions FAQs — Transcripts and GPA"
c012,src02,Admissions FAQ - Admissions,https://www.heinz.cmu.edu/admissions/faq/admissions,general,application process; deadlines; GRE/GMAT; TOEFL; recommendations; transcripts,undated,Medium,2026-07-11,603,151,"Admissions FAQs — Transcripts and GPA Is my GPA good enough for admission? Heinz College does not have a required minimum GPA. The average and median GPA for admitted applicants are available on each program page. The Admissions Committee completes a holistic review of each application, considering transcripts, test scores, recommendations, personal statement, and career goals.

Do international transcripts need third-party evaluation? All international academic documents for applicants to master's programs (except Master of Medical Management) must be verified by a transcript evaluation service."
c013,src02,Admissions FAQ - Admissions,https://www.heinz.cmu.edu/admissions/faq/admissions,general,application process; deadlines; GRE/GMAT; TOEFL; recommendations; transcripts,undated,Medium,2026-07-11,284,71,mic documents for applicants to master's programs (except Master of Medical Management) must be verified by a transcript evaluation service. Can you review my application if some materials arrive late? Heinz cannot review an application until all materials are received and processed.
c014,src03,Admissions FAQ - General & Curriculum,https://www.heinz.cmu.edu/admissions/faq/,general,general and curriculum FAQs,undated,Low,2026-07-11,672,168,"Frequently Asked Questions — General and Curriculum

About the name. Heinz College was originally the School of Urban and Public Affairs (SUPA). It was renamed the H. John Heinz III School of Public Policy and Management in 1992 after Pennsylvania Senator H. John Heinz III, and became Heinz College of Information Systems and Public Policy in 2008. The Master of Information Systems Management program was established in 1996.

How do I apply? Applications must be submitted through Heinz College's online application system; Heinz only accepts applications online. Full-time master's and Ph.D. students must matriculate in the Fall semester. There is no application fee."
c015,src03,Admissions FAQ - General & Curriculum,https://www.heinz.cmu.edu/admissions/faq/,general,general and curriculum FAQs,undated,Low,2026-07-11,649,162,"Full-time master's and Ph.D. students must matriculate in the Fall semester. There is no application fee. Part-time programs. For working professionals with at least three years of work experience, Heinz offers two part-time programs — the Master of Public Management (MPM) and the Master of Science in Information Technology (MSIT) — with evening classes and remote learning options. These part-time programs have additional start dates throughout the year.

Deferrals. Deferrals are not common and are considered case-by-case for one academic year only, typically for military/volunteer public service or opportunities with a partner organization."
c016,src03,Admissions FAQ - General & Curriculum,https://www.heinz.cmu.edu/admissions/faq/,general,general and curriculum FAQs,undated,Low,2026-07-11,664,166,"dered case-by-case for one academic year only, typically for military/volunteer public service or opportunities with a partner organization. STEM designation. Several Heinz master's programs are STEM-designated (eligible for the STEM OPT extension), including AIM, MISM (and the BIDA pathway), MSISPM, MSHCA, and MSPPM. Master of Arts Management, Master of Entertainment Industry Management, Master of Public Management, Master of Medical Management, and the online MSIT are not STEM-designated.

Capstone instead of thesis. In lieu of a master's thesis, full-time master's students complete a team-based Capstone Project in collaboration with a real-world client."
c017,src03,Admissions FAQ - General & Curriculum,https://www.heinz.cmu.edu/admissions/faq/,general,general and curriculum FAQs,undated,Low,2026-07-11,529,132,"In lieu of a master's thesis, full-time master's students complete a team-based Capstone Project in collaboration with a real-world client. What is a unit? At Carnegie Mellon, courses are counted in units rather than credits. A 12-unit course is roughly equivalent to a 4-credit-hour course elsewhere. Most Heinz courses are 12 units (a full-semester course) or 6 units (a half-semester ""mini"" course). The academic year is divided into four minis (two per semester), with summer minis 5 and 6 for students taking summer classes."
c018,src03,Admissions FAQ - General & Curriculum,https://www.heinz.cmu.edu/admissions/faq/,general,general and curriculum FAQs,undated,Low,2026-07-11,608,152,"The academic year is divided into four minis (two per semester), with summer minis 5 and 6 for students taking summer classes. Transfer credits. Heinz does not accept transfer credits from institutions outside Carnegie Mellon toward its full-time degree programs. Graduate-level coursework completed in another CMU program may be evaluated case-by-case after admission. Part-time MPM and MSIT students may request evaluation of prior graduate coursework for up to 24 transfer units after accepting admission. Heinz also offers exemption exams during onboarding for students with overlapping prior coursework."
c019,src04,Admissions FAQ - Financial Aid,https://www.heinz.cmu.edu/admissions/faq/financial-aid,general,financial aid and scholarship FAQs,undated,Medium,2026-07-11,239,60,"Financial Aid FAQs

Tuition rate. Details on the cost of attendance for Heinz College programs are published on the CMU Student Financial Services graduate tuition website. Heinz College does not offer tuition waivers to master's students."
c020,src04,Admissions FAQ - Financial Aid,https://www.heinz.cmu.edu/admissions/faq/financial-aid,general,financial aid and scholarship FAQs,undated,Medium,2026-07-11,697,174,"Heinz College does not offer tuition waivers to master's students. How do I apply for scholarships? The Heinz College Office of Admissions gives scholarship consideration to every admitted student who indicates, within the application for admission, that they want to be considered for merit-based scholarships. The Admissions Committee reviews the information in the application to determine each student's scholarship award. No separate scholarship application is needed unless otherwise stated in the scholarship's description. Master's students do not need to submit a financial aid application to be considered for scholarships and fellowships; these awards are made at the time of admission."
c021,src04,Admissions FAQ - Financial Aid,https://www.heinz.cmu.edu/admissions/faq/financial-aid,general,financial aid and scholarship FAQs,undated,Medium,2026-07-11,563,141,"eed to submit a financial aid application to be considered for scholarships and fellowships; these awards are made at the time of admission. When are scholarships posted? Scholarships are posted to student accounts prior to the start of the semester for registered students and are adjusted as tuition charges change.

External scholarships. Applicants may research additional funding through resources such as CMU's Fellowships and Scholarships Office (FSO), CMU Student Financial Services external scholarship listings, and third-party scholarship search sites."
c022,src04,Admissions FAQ - Financial Aid,https://www.heinz.cmu.edu/admissions/faq/financial-aid,general,financial aid and scholarship FAQs,undated,Medium,2026-07-11,798,200,"ships and Scholarships Office (FSO), CMU Student Financial Services external scholarship listings, and third-party scholarship search sites. Veterans education benefits. Heinz College participates in the G.I. Bill and the Yellow Ribbon program. Eligibility for VA benefits is determined by the Department of Veterans Affairs; students provide their Certificate of Eligibility to CMU's VA Certifying Official. VA education benefits are not taxable.

Federal Work Study. Work study is a federal aid program allowing eligible students to earn money toward education expenses. To be considered, a student must be a U.S. citizen or permanent resident, be eligible for federal financial aid, and submit the FAFSA each year. Work study eligibility is indicated in the student's financial aid offer letter."
c023,src04,Admissions FAQ - Financial Aid,https://www.heinz.cmu.edu/admissions/faq/financial-aid,general,financial aid and scholarship FAQs,undated,Medium,2026-07-11,240,60,Work study eligibility is indicated in the student's financial aid offer letter. Financial wellness. CMU provides financial wellness and debt-management resources through Student Financial Services and the Financial Wellness at CMU website.
c024,src05,Application Checklist - Transcripts,https://www.heinz.cmu.edu/admissions/checklist/transcripts,general,transcript submission and evaluation requirements,undated,Low,2026-07-11,298,74,"Application Checklist — Transcripts

All applicants who have completed (or will complete) their bachelor's degree in the United States must have an official transcript of their undergraduate studies submitted directly to Carnegie Mellon University's Heinz College by their undergraduate university."
